selling_price,year,km_driven,mileage,engine,max_power,age,make,model,Individual,Trustmark Dealer,Diesel,Electric,LPG,Petrol,Manual,X5,X.5
1.2,2012,120000,19.7,796,46.3,11,MARUTI,ALTO STD,1,0,0,0,0,1,1,1,0
5.5,2016,20000,18.9,1197,82,7,HYUNDAI,GRAND I10 ASTA,1,0,0,0,0,1,1,1,0
2.15,2010,60000,17,1197,80,13,HYUNDAI,I20 ASTA,1,0,0,0,0,1,1,1,0
2.26,2012,37000,20.92,998,67.1,11,MARUTI,ALTO K10 2010-2014 VXI,1,0,0,0,0,1,1,1,0
5.7,2015,30000,22.77,1498,98.59,8,FORD,ECOSPORT 2015-2021 1.5 TDCI TITANIUM BSIV,0,0,1,0,0,0,1,1,0
3.5,2013,35000,18.9,998,67.1,10,MARUTI,WAGON R VXI BS IV,1,0,0,0,0,1,1,1,0
3.15,2013,40000,20.36,1197,78.9,10,HYUNDAI,I10 SPORTZ 1.2,0,0,0,0,0,1,1,1,0
4.1,2018,17512,20.51,998,67.04,5,MARUTI,WAGON R VXI,0,0,0,0,0,1,1,1,0
10.5,2019,20000,18.15,998,118.35,4,HYUNDAI,VENUE SX PLUS TURBO DCT BSIV,1,0,0,0,0,1,0,1,0
5.75,2017,70000,18.49,1493,100,6,MAHINDRA,TUV 300 T6,0,0,1,0,0,0,1,0,1
3.05,2015,50000,19.09,1405,69.01,8,TATA,INDIGO LX (TDI) BS-III,1,0,1,0,0,0,1,1,0
11.5,2019,18000,20.37,1461,108.49,4,RENAULT,CAPTUR PLATINE DUAL TONE DIESEL,1,0,1,0,0,0,1,1,0
5.11,2017,28321,16.6,1197,85,6,MARUTI,SWIFT VXI WITH ABS,0,0,0,0,0,1,1,1,0
4.1,2016,27000,19.34,1198,76,7,NISSAN,MICRA XL CVT,0,0,0,0,0,1,0,1,0
4.25,2013,65278,22.32,1582,126.32,10,HYUNDAI,VERNA 1.6 SX,0,0,1,0,0,0,1,1,0
7.5,2016,50000,19.64,1461,108.45,7,RENAULT,DUSTER 110PS DIESEL RXL EXPLORE,1,0,1,0,0,0,1,1,0
20.9025,2017,6000,14.41,1998,189.08,6,MINI,COOPER COOPER S,0,0,0,0,0,1,0,1,0
6.5,2016,76000,28.09,1248,88.5,7,MARUTI,CIAZ ZDI PLUS SHVS,0,0,1,0,0,0,1,1,0
6.27,2016,20000,25.2,1248,74,7,MARUTI,SWIFT VDI BSIV,1,0,1,0,0,0,1,1,0
14.25,2014,65000,19.27,2143,170,9,MERCEDES-BENZ,C-CLASS C 220 CDI AVANTGARDE,0,0,1,0,0,0,0,1,0
4.25,2014,62200,28.4,1248,74,9,MARUTI,SWIFT VDI,0,0,1,0,0,0,1,1,0
6.05,2013,110000,12.99,2494,100.6,10,TOYOTA,INNOVA 2.5 GX (DIESEL) 8 SEATER,1,0,1,0,0,0,1,0,1
6,2015,20000,21.4,1197,83.1,8,MARUTI,BALENO ZETA 1.2,1,0,0,0,0,1,1,1,0
5.75,2016,40000,20.85,1197,83.14,7,MARUTI,SWIFT DZIRE VXI,1,0,0,0,0,1,1,1,0
2.6,2012,97000,17.8,1248,76,11,FIAT,GRANDE PUNTO 1.3 EMOTION PACK (DIESEL),1,0,1,0,0,0,1,1,0
4.25,2013,47000,16.09,1598,103.2,10,VOLKSWAGEN,VENTO 1.6 COMFORTLINE BSIV,0,0,0,0,0,1,1,1,0
2.3,2013,25000,20.92,998,67.1,10,MARUTI,ALTO K10 2010-2014 VXI,0,0,0,0,0,1,1,1,0
12.25,2019,15000,19.67,1582,126.2,4,HYUNDAI,CRETA 1.6 CRDI SX,1,0,1,0,0,0,1,1,0
3.75,2010,56823,14.02,2179,118.3,13,MAHINDRA,XYLO H9,0,0,1,0,0,0,1,0,1
7.5,2015,50000,17.4,1497,117.3,8,HONDA,CITY I VTEC VX,1,0,0,0,0,1,1,1,0
3.5,2011,25000,13.6,2523,63,12,MAHINDRA,BOLERO SLE BSIII,1,0,1,0,0,0,1,0,1
6,2015,90000,26.59,1248,74,8,MARUTI,SWIFT DZIRE VDI,1,0,1,0,0,0,1,1,0
3.9,2013,45000,26.59,1248,74,10,MARUTI,SWIFT DZIRE LDI,0,0,1,0,0,0,1,1,0
1.45,2007,77253,17.7,1497,78,16,HONDA,CITY 2017-2020 GXI,0,0,0,0,0,1,1,1,0
7,2018,25000,17.19,1197,81.86,5,HYUNDAI,I20 ACTIVE 1.2 SX,1,0,0,0,0,1,1,1,0
11.5,2013,110000,13,2982,168.5,10,TOYOTA,FORTUNER 4X2 MANUAL,1,0,1,0,0,0,1,0,1
3.4,2017,30000,23.01,999,67,6,RENAULT,KWID CLIMBER 1.0 MT,1,0,0,0,0,1,1,1,0
4.65,2016,39993,18.6,1199,88.76,7,HONDA,AMAZE S PETROL,0,0,0,0,0,1,1,1,0
1.25,2009,80000,17.92,1086,62.1,14,HYUNDAI,SANTRO XING GLS,1,0,0,0,0,1,1,1,0
6,2012,185000,15.1,2179,140,11,MAHINDRA,XUV500 W8 2WD,1,0,1,0,0,0,1,0,1
